laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
11,7,0.016116653875671526,3,15.6,0.21565617805065235,0.14581734458940906,5,0.10130468150422103,0.21565617805065235,4,0.01918649270913277,393.9
150,2,0.0007674597083653108,3,15.6,0.38910207214121256,0.023023791250959325,5,0.17114351496546432,0.029930928626247123,5,0.02686108979278588,344.0
1305,7,0.0023023791250959325,3,15.6,0.21565617805065235,0.03760552570990023,7,0.17114351496546432,0.005372217958557176,5,0.004604758250191865,764.0
776,4,0.0015349194167306216,1,15.6,0.0015349194167306216,0.03300076745970836,1,0.07214121258633922,0.010744435917114352,5,0.0007674597083653108,1099.0
825,14,0.0015349194167306216,4,12.5,0.00844205679201842,0.0007674597083653108,1,0.09056024558710668,0.21565617805065235,5,0.00844205679201842,1799.0
529,4,0.0061396776669224865,3,14.0,0.38910207214121256,0.010744435917114352,8,0.31619339984650807,0.21565617805065235,5,0.006907137375287797,1279.73
771,6,0.0023023791250959325,4,12.3,0.0023023791250959325,0.0015349194167306216,8,0.31619339984650807,0.010744435917114352,1,0.012279355333844973,1559.0
686,9,0.0007674597083653108,4,15.6,0.17651573292402148,0.056024558710667687,8,0.09056024558710668,0.21565617805065235,5,0.0015349194167306216,2299.0
380,4,0.003837298541826554,0,13.3,0.03607060629316961,0.056024558710667687,8,0.31619339984650807,0.052187260168841135,5,0.004604758250191865,869.01
820,11,0.0015349194167306216,1,17.3,0.38910207214121256,0.11204911742133537,1,0.010744435917114352,0.023023791250959325,5,0.006907137375287797,2415.0
1081,2,0.0007674597083653108,1,17.3,0.17651573292402148,0.007674597083653108,6,0.010744435917114352,0.0007674597083653108,5,0.0015349194167306216,3975.0
138,7,0.005372217958557176,3,14.0,0.38910207214121256,0.056024558710667687,8,0.31619339984650807,0.052187260168841135,5,0.00844205679201842,988.0
774,0,0.0007674597083653108,3,13.3,0.21565617805065235,0.052187260168841135,5,0.05832693783576362,0.1419800460475825,5,0.015349194167306216,655.0
1120,4,0.0023023791250959325,4,12.5,0.21565617805065235,0.052187260168841135,8,0.31619339984650807,0.1419800460475825,7,0.016116653875671526,1413.1
559,4,0.011511895625479662,1,17.3,0.17651573292402148,0.11204911742133537,1,0.056024558710667687,0.023023791250959325,5,0.00844205679201842,2699.0
1126,4,0.0015349194167306216,3,15.6,0.21565617805065235,0.052187260168841135,5,0.10130468150422103,0.0007674597083653108,7,0.003837298541826554,769.15
1228,1,0.004604758250191865,4,12.0,0.004604758250191865,0.0015349194167306216,8,0.0015349194167306216,0.011511895625479662,3,0.0030698388334612432,1279.0
161,4,0.0030698388334612432,0,15.6,0.03607060629316961,0.056024558710667687,8,0.31619339984650807,0.052187260168841135,5,0.0023023791250959325,1049.0
388,2,0.0030698388334612432,1,15.6,0.17651573292402148,0.11204911742133537,8,0.07214121258633922,0.03683806600153492,5,0.031465848042977744,1655.0
1317,10,0.003837298541826554,0,13.3,0.004604758250191865,0.03760552570990023,1,0.09056024558710668,0.1419800460475825,5,0.013046815042210284,1499.0
327,2,0.0007674597083653108,3,14.0,0.38910207214121256,0.10283960092095165,8,0.31619339984650807,0.21565617805065235,5,0.02686108979278588,1094.0
367,2,0.0007674597083653108,3,14.0,0.38910207214121256,0.14581734458940906,8,0.31619339984650807,0.21565617805065235,5,0.02686108979278588,945.0
848,2,0.0007674597083653108,3,15.6,0.38910207214121256,0.14581734458940906,8,0.0007674597083653108,0.21565617805065235,5,0.031465848042977744,590.0
823,4,0.014581734458940905,3,15.6,0.38910207214121256,0.14581734458940906,8,0.31619339984650807,0.0061396776669224865,5,0.017651573292402148,789.81
884,10,0.0015349194167306216,3,13.3,0.17651573292402148,0.0283960092095165,5,0.003837298541826554,0.21565617805065235,5,0.006907137375287797,735.0
98,4,0.022256331542594012,3,15.6,0.38910207214121256,0.10283960092095165,8,0.17114351496546432,0.01688411358403684,2,0.09286262471220261,599.9
595,10,0.0007674597083653108,3,15.6,0.012279355333844973,0.056024558710667687,0,0.17114351496546432,0.21565617805065235,5,0.09286262471220261,609.0
1131,10,0.0023023791250959325,1,17.3,0.17651573292402148,0.007674597083653108,1,0.0007674597083653108,0.007674597083653108,5,0.0030698388334612432,2749.99
468,0,0.0015349194167306216,2,11.6,0.21565617805065235,0.021488871834228703,5,0.05832693783576362,0.0283960092095165,5,0.01841903300076746,435.0
442,2,0.004604758250191865,1,17.3,0.38910207214121256,0.0007674597083653108,8,0.056024558710667687,0.003837298541826554,5,0.005372217958557176,1695.0
159,10,0.0015349194167306216,0,14.0,0.04067536454336147,0.0283960092095165,5,0.31619339984650807,0.21565617805065235,5,0.0015349194167306216,629.0
449,10,0.0015349194167306216,4,12.5,0.17651573292402148,0.14581734458940906,8,0.31619339984650807,0.21565617805065235,5,0.010744435917114352,1429.0
1077,4,0.010744435917114352,3,15.6,0.38910207214121256,0.10283960092095165,1,0.012279355333844973,0.010744435917114352,5,0.003837298541826554,989.99
321,7,0.003837298541826554,0,13.3,0.00844205679201842,0.056024558710667687,1,0.010744435917114352,0.052187260168841135,5,0.00844205679201842,2449.0
314,7,0.016116653875671526,3,15.6,0.38910207214121256,0.04911742133537989,5,0.17114351496546432,0.1419800460475825,5,0.01918649270913277,469.0
900,10,0.0015349194167306216,3,17.3,0.017651573292402148,0.0007674597083653108,5,0.10130468150422103,0.0007674597083653108,5,0.021488871834228703,379.0
862,2,0.0007674597083653108,1,15.6,0.38910207214121256,0.11204911742133537,1,0.07214121258633922,0.03683806600153492,5,0.044512663085188024,1899.0
1137,7,0.003837298541826554,3,14.0,0.38910207214121256,0.052187260168841135,8,0.31619339984650807,0.1419800460475825,7,0.004604758250191865,1513.0
